subject,method,band,window,car,accuracy,kappa,fold_accuracy_std
A01,CSP+SVM,7-35Hz,1.0-4.0s,True,0.6979166666666666,0.5972222222222222,0.0499737067583631
A01,FBCSP+LDA,7-35Hz,1.0-4.0s,True,0.7569444444444444,0.6759259259259259,0.0622702337915562
A01,CSP+SVM,4-40Hz,0.5-2.5s,False,0.7361111111111112,0.6481481481481481,0.037833701007055
A01,FBCSP+LDA,4-40Hz,0.5-2.5s,False,0.7986111111111112,0.7314814814814814,0.0083965403861572
A01,CSP+SVM,4-40Hz,0.5-2.5s,True,0.7256944444444444,0.6342592592592593,0.0366730934987144
A01,FBCSP+LDA,4-40Hz,0.5-2.5s,True,0.8090277777777778,0.7453703703703703,0.0100237438748267
A01,CSP+SVM,4-40Hz,0.5-3.5s,False,0.7291666666666666,0.6388888888888888,0.0215544356770581
A01,FBCSP+LDA,4-40Hz,0.5-3.5s,False,0.8194444444444444,0.7592592592592593,0.0366561245023628
A01,CSP+SVM,4-40Hz,0.5-3.5s,True,0.7222222222222222,0.6296296296296297,0.0157366540902778
A01,FBCSP+LDA,4-40Hz,0.5-3.5s,True,0.8125,0.75,0.0456619093708867
A01,CSP+SVM,4-40Hz,0.5-4.0s,False,0.7118055555555556,0.6157407407407407,0.0612013934343182
A01,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.8229166666666666,0.7638888888888888,0.0424818533064797
A01,CSP+SVM,4-40Hz,0.5-4.0s,True,0.7222222222222222,0.6296296296296297,0.0672817455298799
A01,FBCSP+LDA,4-40Hz,0.5-4.0s,True,0.8229166666666666,0.7638888888888888,0.0468887846094907
A01,CSP+SVM,4-40Hz,1.0-4.0s,False,0.6458333333333334,0.5277777777777778,0.0481642930220401
A01,FBCSP+LDA,4-40Hz,1.0-4.0s,False,0.8020833333333334,0.7361111111111112,0.0349921513877192
A01,CSP+SVM,4-40Hz,1.0-4.0s,True,0.6527777777777778,0.537037037037037,0.0497700675133537
A01,FBCSP+LDA,4-40Hz,1.0-4.0s,True,0.7951388888888888,0.7268518518518519,0.0290834491818658
A02,CSP+SVM,8-30Hz,0.5-2.5s,False,0.5173611111111112,0.3564814814814815,0.0341573034692606
A02,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.5069444444444444,0.3425925925925925,0.0386945069453178
A02,CSP+SVM,8-30Hz,0.5-2.5s,True,0.5208333333333334,0.3611111111111111,0.0416424804336926
A02,FBCSP+LDA,8-30Hz,0.5-2.5s,True,0.5069444444444444,0.3425925925925925,0.0201103706897732
A02,CSP+SVM,8-30Hz,0.5-3.5s,False,0.6111111111111112,0.4814814814814815,0.0240196054541788
A02,FBCSP+LDA,8-30Hz,0.5-3.5s,False,0.6145833333333334,0.4861111111111111,0.0438404948057337
A02,CSP+SVM,8-30Hz,0.5-3.5s,True,0.5972222222222222,0.4629629629629629,0.0424148626217848
A02,FBCSP+LDA,8-30Hz,0.5-3.5s,True,0.6111111111111112,0.4814814814814815,0.0499070926587596
A02,CSP+SVM,8-30Hz,0.5-4.0s,False,0.6180555555555556,0.4907407407407407,0.0883411630559939
A02,FBCSP+LDA,8-30Hz,0.5-4.0s,False,0.6388888888888888,0.5185185185185186,0.0533624014030877
A02,CSP+SVM,8-30Hz,0.5-4.0s,True,0.6319444444444444,0.5092592592592593,0.0745636061221129
A02,FBCSP+LDA,8-30Hz,0.5-4.0s,True,0.6493055555555556,0.5324074074074074,0.0493418033613597
A02,CSP+SVM,8-30Hz,1.0-4.0s,False,0.6631944444444444,0.5509259259259259,0.0418756035835708
A02,FBCSP+LDA,8-30Hz,1.0-4.0s,False,0.6493055555555556,0.5324074074074074,0.0635031807821152
A02,CSP+SVM,8-30Hz,1.0-4.0s,True,0.6770833333333334,0.5694444444444444,0.0605361633612278
A02,FBCSP+LDA,8-30Hz,1.0-4.0s,True,0.6666666666666666,0.5555555555555556,0.0580641245712235
A02,CSP+SVM,7-35Hz,0.5-2.5s,False,0.5173611111111112,0.3564814814814815,0.0507772871698611
A02,FBCSP+LDA,7-35Hz,0.5-2.5s,False,0.5034722222222222,0.3379629629629629,0.0437888742020527
A02,CSP+SVM,7-35Hz,0.5-2.5s,True,0.5347222222222222,0.3796296296296296,0.0771591712140882
A02,FBCSP+LDA,7-35Hz,0.5-2.5s,True,0.5034722222222222,0.3379629629629629,0.0325556540764034
A02,CSP+SVM,7-35Hz,0.5-3.5s,False,0.5520833333333334,0.4027777777777778,0.034807799307124
A02,FBCSP+LDA,7-35Hz,0.5-3.5s,False,0.6319444444444444,0.5092592592592593,0.0236917616732959
A02,CSP+SVM,7-35Hz,0.5-3.5s,True,0.5868055555555556,0.449074074074074,0.0473009620094153
A02,FBCSP+LDA,7-35Hz,0.5-3.5s,True,0.6284722222222222,0.5046296296296297,0.0412269050659611
A02,CSP+SVM,7-35Hz,0.5-4.0s,False,0.6215277777777778,0.4953703703703703,0.0621926646163262
A02,FBCSP+LDA,7-35Hz,0.5-4.0s,False,0.65625,0.5416666666666667,0.0367279394793763
A02,CSP+SVM,7-35Hz,0.5-4.0s,True,0.6493055555555556,0.5324074074074074,0.063403515594664
A02,FBCSP+LDA,7-35Hz,0.5-4.0s,True,0.6458333333333334,0.5277777777777778,0.0499354639799368
A02,CSP+SVM,7-35Hz,1.0-4.0s,False,0.6423611111111112,0.5231481481481481,0.0537474793724766
A02,FBCSP+LDA,7-35Hz,1.0-4.0s,False,0.6875,0.5833333333333333,0.0284961524170867
A02,CSP+SVM,7-35Hz,1.0-4.0s,True,0.6458333333333334,0.5277777777777778,0.0563576639718426
A02,FBCSP+LDA,7-35Hz,1.0-4.0s,True,0.6875,0.5833333333333333,0.0532212759287596
A02,CSP+SVM,4-40Hz,0.5-2.5s,False,0.5451388888888888,0.3935185185185185,0.052857571564747
A02,FBCSP+LDA,4-40Hz,0.5-2.5s,False,0.5034722222222222,0.3379629629629629,0.017780698952546
A02,CSP+SVM,4-40Hz,0.5-2.5s,True,0.5451388888888888,0.3935185185185185,0.0379765962609124
A02,FBCSP+LDA,4-40Hz,0.5-2.5s,True,0.4930555555555556,0.324074074074074,0.0200688353483344
